mag,place,time,state,country,detail,net,magType,faultType,RecordNum,type,title,longitude,latitude,depth
5.8,"7km NNW of Anchorage, Alaska",2018-11-30 17:35:37,AK,US,"5.8MW, 08:35:37 AKST 61.2822N -149.9571W Depth 40.8km",ak,MW,,0,earthquake, Anchorage Earthquake of 30 Nov 2018,-149.9571,61.2822,40.8
5.0,"16km SSW of Big Lake, Alaska",2018-11-30 20:26:55,AK,US,"5.0ML, 11:26:55 AKST 61.384N -150.0795W Depth 37.7km",ak,ML,,45,earthquake, Big Lake Earthquake of 30 Nov 2018,-150.0795,61.384,37.7
5.0,"9km NNW of Anchorage, Alaska",2019-01-01 03:03:30,AK,US,"5.0ML, 18:03:30 AKST 61.2975N -149.9523W Depth 44.4km",ak,ML,,42,earthquake, Anchorage Earthquake of 31 Dec 2018,-149.9523,61.2975,44.4
5.2,"42km W of Willow, Alaska",2019-09-17 01:09:55,AK,US,"5.2MWW, 17:09:55 AKDT 61.7202N -150.8856W Depth 69.9km",ak,MWW,,0,earthquake, Willow Earthquake of 16 Sep 2019,-150.8856,61.7202,69.9
5.0,"16km NW of Anchorage, Alaska",2019-01-13 16:45:55,AK,US,"5.0ML, 07:45:55 AKST 61.2993N -150.0647W Depth 44.8km",ak,ML,,47,earthquake, Anchorage Earthquake of 13 Jan 2019,-150.0647,61.2993,44.8
5.3,south of Alaska,2020-08-08 12:52:58,AK,US,"5.3ML, 12:52:58 UTC, 54.8011N 158.2608W Depth 24.7 km",ak,ML,,1,earthquake,Alaska Earthquake of 08 Aug 2020,-158.2608,54.8011,24.7
5.2,"120 km SE of Perryville, Alaska",2020-08-09 14:57:53,AK,US,"5.2ML, 14:57:53 UTC, 55.0605N 157.9545W Depth 32.6 km",ak,ML,,1,earthquake,Perryville Earthquake of 09 Aug 2020,-157.9545,55.0605,32.6
5.0,"2 km E of Big Lake, Alaska",2020-11-07 12:23:12,AK,US,"5.0ML, 03:23:11 AKST, 61.5218N 149.9095W Depth 39.0 km",ak,ML,,59,earthquake,Big Lake Earthquake of 07 Nov 2020,-149.9095,61.5218,39.0
5.3,"3 km SSW of Point MacKenzie, Alaska",2021-02-27 18:59:25,AK,US,"5.3MWW, 09:59:25 AKST, 61.3286N 149.9991W Depth 42.1 km",ak,MWW,,71,earthquake,Point MacKenzie Earthquake of 27 Feb 2021,-149.9991,61.3286,42.1
5.5,"27 km SE of Cantwell, Alaska",2021-04-08 17:10:19,AK,US,"5.5MWW, 09:10:18 AKDT, 63.2075N 148.5817W Depth 77.7 km",ak,MWW,,72,earthquake,Cantwell Earthquake of 08 Apr 2021,-148.5817,63.2075,77.7
