mag,magType,time,place,latitude,longitude,depth,net,country,state,detail,faultType,RecordNum,type,title,datetime,year,month,day,hour,mag_normalized,event_type,class_label
5.8,MW,2018-11-30 17:35:37,"7km NNW of Anchorage, Alaska",61.2822,-149.9571,40.8,ak,US,AK,"5.8MW, 08:35:37 AKST 61.2822N -149.9571W Depth 40.8km",,0,earthquake, Anchorage Earthquake of 30 Nov 2018,2018-11-30 17:35:37,2018,11,30,17,1.0,earthquake,0
5.0,ML,2018-11-30 20:26:55,"16km SSW of Big Lake, Alaska",61.384,-150.0795,37.7,ak,US,AK,"5.0ML, 11:26:55 AKST 61.384N -150.0795W Depth 37.7km",,45,earthquake, Big Lake Earthquake of 30 Nov 2018,2018-11-30 20:26:55,2018,11,30,20,0.0,earthquake,0
5.0,ML,2019-01-01 03:03:30,"9km NNW of Anchorage, Alaska",61.2975,-149.9523,44.4,ak,US,AK,"5.0ML, 18:03:30 AKST 61.2975N -149.9523W Depth 44.4km",,42,earthquake, Anchorage Earthquake of 31 Dec 2018,2019-01-01 03:03:30,2019,1,1,3,0.0,earthquake,0
5.2,MWW,2019-09-17 01:09:55,"42km W of Willow, Alaska",61.7202,-150.8856,69.9,ak,US,AK,"5.2MWW, 17:09:55 AKDT 61.7202N -150.8856W Depth 69.9km",,0,earthquake, Willow Earthquake of 16 Sep 2019,2019-09-17 01:09:55,2019,9,17,1,0.2500000000000003,earthquake,0
5.0,ML,2019-01-13 16:45:55,"16km NW of Anchorage, Alaska",61.2993,-150.0647,44.8,ak,US,AK,"5.0ML, 07:45:55 AKST 61.2993N -150.0647W Depth 44.8km",,47,earthquake, Anchorage Earthquake of 13 Jan 2019,2019-01-13 16:45:55,2019,1,13,16,0.0,earthquake,0
5.3,ML,2020-08-08 12:52:58,south of Alaska,54.8011,-158.2608,24.7,ak,US,AK,"5.3ML, 12:52:58 UTC, 54.8011N 158.2608W Depth 24.7 km",,1,earthquake,Alaska Earthquake of 08 Aug 2020,2020-08-08 12:52:58,2020,8,8,12,0.37499999999999983,earthquake,0
5.2,ML,2020-08-09 14:57:53,"120 km SE of Perryville, Alaska",55.0605,-157.9545,32.6,ak,US,AK,"5.2ML, 14:57:53 UTC, 55.0605N 157.9545W Depth 32.6 km",,1,earthquake,Perryville Earthquake of 09 Aug 2020,2020-08-09 14:57:53,2020,8,9,14,0.2500000000000003,earthquake,0
5.0,ML,2020-11-07 12:23:12,"2 km E of Big Lake, Alaska",61.5218,-149.9095,39.0,ak,US,AK,"5.0ML, 03:23:11 AKST, 61.5218N 149.9095W Depth 39.0 km",,59,earthquake,Big Lake Earthquake of 07 Nov 2020,2020-11-07 12:23:12,2020,11,7,12,0.0,earthquake,0
5.3,MWW,2021-02-27 18:59:25,"3 km SSW of Point MacKenzie, Alaska",61.3286,-149.9991,42.1,ak,US,AK,"5.3MWW, 09:59:25 AKST, 61.3286N 149.9991W Depth 42.1 km",,71,earthquake,Point MacKenzie Earthquake of 27 Feb 2021,2021-02-27 18:59:25,2021,2,27,18,0.37499999999999983,earthquake,0
5.5,MWW,2021-04-08 17:10:19,"27 km SE of Cantwell, Alaska",63.2075,-148.5817,77.7,ak,US,AK,"5.5MWW, 09:10:18 AKDT, 63.2075N 148.5817W Depth 77.7 km",,72,earthquake,Cantwell Earthquake of 08 Apr 2021,2021-04-08 17:10:19,2021,4,8,17,0.6250000000000001,earthquake,0
